session_id,cluster_id
e4bc039f-ab98-456c-9c22-0b8f78253318,2
afb389ba-6085-47bf-a216-2dbf5dd99b73,2
4d620117-f853-41c7-b699-935d0f231893,2
99b835b4-1cff-4682-b592-ae1bf30eaa5a,2
5c501d12-cce0-4014-bdf7-42855ed4f0d8,2
8ec6cd3c-d358-483f-8a61-ef5f1943f884,2
afd638ab-a97e-48d4-842e-adcc094312f4,2
7f685e58-563f-4140-8d7f-94d6d5e25406,2
f017710a-32c1-4046-8cdc-b19963f8c79b,2
3f000b44-21c5-494d-b5c4-28798bdd3c34,2
3409d605-e9c7-4895-abde-ed4c7106151c,2
7bd8e55c-d946-41e8-b7d9-ff2f5ed02888,2
bbfa7279-a71f-4c55-9eec-a56a86b8261b,2
126e655f-b8f9-41a7-b367-837b1285f290,2
302a9f65-da15-4536-88eb-3cd3f4d68693,2
a86f154d-60e4-4acb-b1a1-3933de9058f2,2
51d0ffd0-d2af-4cbc-83a5-fc37c8ed703a,2
3967b6af-49c9-4b47-b32f-ad1fcb02b412,2
04042e03-0aba-460c-bcee-d57e4487417b,2
332d7268-583f-428f-8508-19546b0819dd,2
71860a57-b889-4b75-9ee4-00f82af29ddb,2
c55c5d5e-eb53-4d73-9e04-99ebad06a7c9,2
e274321a-6267-401e-ab78-74794b7a84b2,2
d7b1a521-3009-4705-9905-2c6143c70d0f,1
94ae5e23-cb46-4c1d-a397-feddf923cfaa,0
ecedea9b-e10f-422b-9944-83180a2a7da5,0
62920051-b59e-4ee6-9ce0-bde8219103d3,0
10af185b-338f-40a1-a279-766713f72801,2
da055280-9ac8-489c-807b-d533588d76de,0
0beec25f-1013-4aa8-b378-e597fa1c1514,0
05c0689c-f931-4a56-af97-faece3b8d6ef,0
df6307db-f444-4cd1-9b34-d82229a02060,0
7d03f883-3ad9-487c-a1f4-88c43bc5ddbd,0
090fd93d-2117-4099-a5ab-3ab477f140c2,0
3eedffec-22d7-49fb-a375-78093176b930,0
76476a08-2bcb-4428-843f-873224d5779e,0
cf3a5636-862f-4bb3-886f-f09d8686a2b6,0
7a19940d-a969-4f20-a5ce-ee0469a09a46,0
27ec2e31-3114-4de5-afe6-f832254d0f93,0
7114f7c0-45a2-41f1-8b1a-ac585cb69146,0
b3cd03c7-a865-4e53-ab03-222cc5f9143b,0
bd7d9fc6-bd4d-45c5-bfa0-c4f2e1f3f49c,0
35e7071a-c314-4642-9aad-2ef74a7ac522,0
0d0caea7-dd88-4109-a379-a51f8a867c33,0
98ed1c08-6e22-4c2a-8899-a364e89f833b,0
0c9c0ba5-f300-4884-b6d9-7602da0404c8,0
cfba53cd-52a6-4d21-b431-30ad6538b12b,0
bcc8d6ef-339a-4b2e-9ab8-6858106dbee8,0
daec9b1b-1f8d-4e08-a8ac-08c018e4bbcb,0
cddc56ec-9b93-41b2-bdd9-4469f1c4c59f,0
fce9fbd6-523f-4d2e-9d02-f6422472379a,0
84a26177-2524-44a9-ae98-c11d1ce8b83e,2
7c0e54d0-9d4c-4b72-a891-5eb1eb81f192,2
c0fde291-27b0-4106-b071-5c87b6470e44,0
e8c85988-12c2-4e4b-a89c-3a83110628d5,0
0c56430e-138e-480b-af1e-72c6e5bb4381,0
42410715-30e2-4db7-a8cb-2279e3f5ca86,0
d5aeb8a1-b992-4e65-8d5f-bdbf291881c0,0
11cb8ad1-2772-4c39-b7c5-09d4f577cc4d,0
